member_name,member_number
ABN AMRO CLEARING USA LLC,0695
ABN AMRO SECURITIES (USA) LLC,0349
ADELPHI STOCK BROKERS INC.,1476
ALPACA SECURITIES LLC,3021
ALPINE SECURITIES CORPORATION,8072
ALTRUIST FINANCIAL LLC,3164
AMALGAMATED BANK,2352
AMALGAMATED BANK OF CHICAGO,2567
AMERICAN ENTERPRISE INVESTMENT SERVICES INC.,0756
APEX CLEARING CORPORATION,0158
"ARCHIPELAGO SECURITIES, L.L.C.",0436
"ARCOLA SECURITIES, INC.",0166
ASCENSUS TRUST COMPANY,2563
"ASSOCIATED BANK, N.A.",2257
AVIOR CAPITAL MARKETS US LLC,1389
AXOS CLEARING LLC,0052
"B. RILEY SECURITIES, INC.",9186
"BANK OF AMERICA, NATIONAL ASSOCIATION",2236
"BANK OF CHINA, NEW YORK BRANCH",2555
"BANK OF MONTREAL, CHICAGO BRANCH",2309
BANKERS' BANK,2557
BARCLAYS BANK PLC NEW YORK BRANCH,7263
BARCLAYS CAPITAL INC.,0229
BBVA SECURITIES INC.,2786
BETA CAPITAL SECURITIES LLC,4077
"BETHESDA SECURITIES, LLC",8860
"BGC FINANCIAL, L.P.",0537
BMO BANK NATIONAL ASSOCIATION,2697
BMO CAPITAL MARKETS CORP.,0045
BNP PARIBAS SECURITIES CORP.,0630
"BNP PARIBAS, NEW YORK BRANCH",1569
BNP PARIBAS NY BRANCH LONDON BONDS,5153
"BNY MELLON CAPITAL MARKETS, LLC",2523
"BOFA SECURITIES, INC.",0161
"BOKF, NATIONAL ASSOCIATION",3975
"BREAN CAPITAL, LLC",2142
"BROADRIDGE BUSINESS PROCESS OUTSOURCING, LLC",1856
BROWN BROTHERS HARRIMAN & CO.,0010
BUCKLER SECURITIES LLC,3961
CAJA DE VALORES S.A.,5610
CALDWELL TRUST COMPANY,2687
CANTOR FITZGERALD & CO.,0696
CDS CLEARING AND DEPOSITORY SERVICES INC.,4800
J.P. MORGAN SECURITIES CANADA INC. **,4808
FIDUCIE DESJARDINS INC.**,4818
BANK OF MONTREAL**,4855
CENTRAL TRUST BANK (THE),2880
CETERA INVESTMENT SERVICES LLC,0701
"CF SECURED, LLC",0794
"CHARLES SCHWAB & CO., INC.",0164
"CHARLES SCHWAB & CO., INC. STOCK LOAN CONDUIT ACCOUNT",7322
CHARLES SCHWAB TRUST BANK,2993
CIBC WORLD MARKETS CORP.,0438
CITADEL CLEARING LLC,0395
CITADEL SECURITIES LLC,8430
"CITIBANK, N.A.",0908
"CITIBANK, N.A. - DEALER",0950
ADR-CITI,0953
"CITIBANK, N.A. BOOK-ENTRY-ONLY MEDIUM TERM NOTE ACCOUNT",2790
CITIGROUP GLOBAL MARKETS INC.,0505
CLEAR STREET LLC,9132
CLEARSTREAM EUROPE AG,2000
COMERICA BANK,2108
COMMERCE BANK,2170
COMMERZ MARKETS LLC,0126
"COMPUTERSHARE TRUST COMPANY, N.A.",2415
CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,4024
CREDIT AGRICOLE SECURITIES (USA) INC,0651
CREST INTERNATIONAL NOMINEES LIMITED,2012
"CURVATURE SECURITIES, LLC",3450
D. A. DAVIDSON & CO.,0361
DAIWA CAPITAL MARKETS AMERICA INC.,0647
DASH FINANCIAL TECHNOLOGIES LLC,0627
DEALERWEB INC.,8445
DESERET TRUST COMPANY,0958
DESERET TRUST COMPANY - D,2118
DESERET TRUST COMPANY - I,2497
DESERET TRUST COMPANY - A,8485
"DEUTSCHE BANK AG, NEW YORK BRANCH",2481
DEUTSCHE BANK SECURITIES INC.,0573
DEUTSCHE BANK SECURITIES INC.-INTERNATIONAL STOCK LOAN,5162
DEUTSCHE BANK TRUST COMPANY AMERICAS,1503
