member_name,member_number
"&PARTNERS, LLC",25519
"A. W. JONES ADVISORS, LLC",18040
"ABACUS LIFE SERVICES, LLC",20397
ABBEY CAPITAL LIMITED,18512
ABN AMRO CLEARING USA LLC,11346
ABN AMRO SECURITIES (USA) LLC,14465
"ACCESS CAPITAL GROUP, LLC",26297
ACCORDANT INVESTMENTS LLC,27920
"ACCRUED EQUITIES, INC.",10017
ACP VENTURE CAPITAL MANAGEMENT FUND LLC,19397
ADELPHI STOCK BROKERS INC.,20957
ADIRONDACK FUNDS,10021
"ADP, INC.",10024
"ADVANCED ADVISOR GROUP, LLC",14537
"ADVISOR360, LLC",28907
"AEI FUND MANAGEMENT, INC.",18538
"AI INFRASTRUCTURE PARTNERS, LLC",26984
AIM MASTER I (BVI) LTD.,25621
"AIMCOR GROUP, LLC",18346
ALERA MANAGEMENT GROUP LLC,17559
"ALERION INVESTMENT MANAGERS II, LLC",23882
"ALERUS FINANCIAL, N.A.",16393
"ALEXANDER CAPITAL VENTURES, LLC",18793
ALIGHT SOLUTIONS LLC,11704
"ALLIANCEBERNSTEIN INV RES & MGT,INC SANFORD C BERN",10074
"ALLIANCEBERNSTEIN INV RESEARCH & MGT,INC INTL DIV",10076
"ALLIANCEBERNSTEIN INVESTMENT RESEARCH AND MANAGEMENT, INC.",10072
"ALLIANCEBERNSTEIN INVESTMENTS, INC.",16506
ALLIANZ GLOBAL INVESTORS GMBH,14562
ALLIANZ LIFE INSURANCE CO. OF NEW  YORK - FIXED BUSINESS,10086
ALLIANZ LIFE INSURANCE CO. OF NORTH AMERICA - FIXED BUSINESS,10087
ALLIANZ LIFE INSURANCE COMPANY OF NEW YORK,10088
ALLIANZ LIFE INSURANCE COMPANY OF NORTH AMERICA,10089
"ALLOCATE MANAGEMENT COMPANY, LLC",22159
"ALLSPRING FUNDS DISTRIBUTOR, LLC",14333
"ALLSTATE FINANCIAL SERVICES, LLC",10093
ALPACA SECURITIES LLC,25220
"ALPINE QUANTITATIVE INVESTMENT FUND, LP",18556
ALPINE SECURITIES CORPORATION,10105
"ALPS DISTRIBUTORS, INC.",10106
ALTA FUNDAMENTAL ADVISERS LLC,26360
"ALTEGRIS PORTFOLIO MANAGEMENT, INC. DBA ALTEGRIS FUNDS",15314
ALTER DOMUS (US) LLC,15841
ALTERA INVESTMENTS LLC,22540
ALTRUIST FINANCIAL LLC,27878
ALTURAS REAL ESTATE FUND LLC,23858
ALTUS EQUITY GROUP INC.,26098
AMALGAMATED BANK,17849
AMCAP MANAGEMENT LLC,18533
"AMERICAN CENTURY INVESTMENT SERVICES, INC.",10146
AMERICAN ENTERPRISE INVESTMENT SERVICES INC.,10150
AMERICAN GENERAL LIFE INSURANCE COMPANY,10155
AMERICAN LIFE & SECURITY CORP.,20818
AMERICAN NATIONAL INSURANCE COMPANY,10164
AMERICAN NATIONAL LIFE INSURANCE COMPANY OF NEW YORK,17686
AMERICAN UNITED LIFE INSURANCE COMPANY,10171
"AMERIFUNDS DIVERSIFIED FUNDING, LLC",16064
"AMERITAS INVESTMENT COMPANY, LLC",10176
AMERITAS LIFE INSURANCE CORP.,10177
AMFIRST INSURANCE COMPANY,27502
AMFIRST LIFE INSURANCE COMPANY I.I.,25538
AMG FUNDS LLC,12249
AMUNDI LUXEMBOURG S.A.,15696
"ANDALUSIAN CREDIT COMPANY, LLC",26119
"ANGELO, GORDON & CO., L.P.",17910
"ANNUITY MARKETING SERVICES, INC.",19277
"ANSONIA MULTIFAMILY VALUE FUND II, LP",25797
APEX CLEARING CORPORATION,27557
APEX FUND SERVICES (CANADA) LTD.,20428
"APLIFI, INC.",10443
"APOLLO CAPITAL MANAGEMENT, L.P.",20980
"APOLLO GLOBAL REAL ESTATE MANAGEMENT, L.P.",21437
"APOLLO MANAGER, LLC",23941
"APOLLO S3 RIC MANAGEMENT, L.P.",25637
APPLIED FUNDAMENTAL RESEARCH LLC,22957
"APW CAPITAL, INC.",18216
"AR ASSET MANAGEMENT, INC.",23167
"AR GLOBAL INVESTMENTS, LLC",17401
ARBOR COURT CAPITAL LLC,15828
"ARBOR RESEARCH & TRADING, LLC",16382
"ARBORETUM INVESTMENT ADVISORS, LLC",17659
"ARCHER DISTRIBUTORS, LLC",16402
"ARCHIPELAGO SECURITIES, L.L.C.",10207
ARES CORE INFRASTRUCTURE FUND,26042
ARES DIVERSIFIED REAL ESTATE EXCHANGE LLC,19538
ARES INDUSTRIAL REAL ESTATE EXCHANGE LLC,20219
ARES INDUSTRIAL REAL ESTATE INCOME TRUST INC.,17706
ARES PRIVATE MARKETS FUND,21180
ARES REAL ESTATE INCOME TRUST INC.,16181
ARES STRATEGIC INCOME FUND,23217
"ARES WEALTH MANAGEMENT SOLUTIONS, LLC",27003
"ARETE WEALTH MANAGEMENT, LLC",22542
"ARGOS ALTERNATIVE FUNDS, LLC - LEONIDAS CRYPTOCURRENCY FUND",20122
"ARGOS ALTERNATIVE FUNDS, LLC - LEONIDAS MACRO FUND",20121
"ARGOS ALTERNATIVE FUNDS, LLC - VULCAN METALS FUND",20120
"ARIA RETIREMENT SOLUTIONS, INC.",18053
"ARIEL DISTRIBUTORS, LLC",10211
ARQ ADVISORS LLC,27378
ARTEX FUND SERVICES LTD.,18789
ARTISAN PARTNERS DISTRIBUTORS LLC,10217
"ARVEST INVESTMENTS, INC.",10219
"ASCENDANT DEVELOPMENT, LLC",25897
"ASCENSUS BROKER DEALER SERVICES, LLC",14153
ASCENSUS TRUST COMPANY,11412
"ASCENTIA REAL ESTATE HOLDING COMPANY, LLC",16621
"ASHFORD HOSPITALITY TRUST, INC.",24061
